交易日期,產品名稱,加權平均價(元/公斤),總交易量(公斤)
2025/11/09,九層塔,31.0,425.0
2025/11/09,其他,80.7,129.0
2025/11/09,冬瓜 白皮,10.0,1212.0
2025/11/09,包心白菜 包 白,36.0,120.0
2025/11/09,包心白菜 進口其他,17.7,1319.0
2025/11/09,包心白菜 進口包頭蓮,37.3,1150.0
2025/11/09,南瓜 圓形,12.1,907.0
2025/11/09,南瓜 木瓜型阿嬌,15.0,680.0
2025/11/09,南瓜 木瓜型阿成,19.7,2572.0
2025/11/09,南瓜 栗子小黑,31.4,851.0
2025/11/09,南瓜 粟子,20.0,90.0
2025/11/09,南瓜 青如意,88.3,1503.0
2025/11/09,大蒜 蒜頭,77.8,54.0
2025/11/09,大蒜 蔥  蒜,125.0,40.0
2025/11/09,大蒜 軟梗,155.2,330.0
2025/11/09,小白菜 其他,22.6,234.0
2025/11/09,小白菜 土白菜,21.3,480.0
2025/11/09,小白菜 奶油白,47.2,336.0
2025/11/09,小白菜 蚵仔白,27.0,1620.0
2025/11/09,巴西利,466.70000000000005,18.0
2025/11/09,扁蒲 花蒲,11.2,180.0
2025/11/09,敏豆 白豆,185.4,975.0
2025/11/09,敏豆 翼豆,30.0,125.0
2025/11/09,敏豆 醜豆,126.20000000000002,148.0
2025/11/09,杏鮑菇,72.6,502.0
2025/11/09,油菜,25.1,995.0
2025/11/09,洋蔥 本產,40.8,240.0
2025/11/09,洋蔥 進口,25.7,1440.0
2025/11/09,洛神花,51.7,19.0
2025/11/09,牛蒡 進口,37.0,50.0
2025/11/09,玉米 其他,10.0,18.0
2025/11/09,玉米 玉米筍,40.60000000000001,26.0
2025/11/09,玉米 玉米筍帶殼,25.8,743.0
2025/11/09,玉米 甜軟殼,17.7,1367.0
2025/11/09,玉米 白龍王,34.6,330.0
2025/11/09,玉米 糯米黑,13.0,460.0
2025/11/09,球莖甘藍,20.0,92.0
2025/11/09,甘藍 初秋,21.6,17942.0
2025/11/09,甘藍 改良尖,26.8,800.0
2025/11/09,甘藍 改良種,10.3,882.0
2025/11/09,甘藍 甘藍心,29.6,229.0
2025/11/09,甘藍 甘藍芽,63.60000000000001,69.0
2025/11/09,甘藍 紫色,10.0,15.0
2025/11/09,甘藷 其  他,39.0,225.0
2025/11/09,甘藷 臺農57號,37.7,729.0
2025/11/09,甘藷 臺農66號,34.4,423.0
2025/11/09,甘藷葉,27.2,1240.0
2025/11/09,甜椒 彩色種紅色,41.7,108.0
2025/11/09,甜椒 彩色種黃色,82.0,100.0
2025/11/09,甜椒 新香,46.0,330.0
2025/11/09,甜椒 青椒,76.2,609.0
2025/11/09,番茄 牛番茄,101.4,1255.0
2025/11/09,皇宮菜 小葉,33.0,288.0
2025/11/09,石蓮花,100.0,12.0
2025/11/09,竹筍 烏殼綠,33.0,120.0
2025/11/09,絲瓜,33.470108750889324,9839.0
2025/11/09,胡瓜 黑刺,40.6,2024.0
2025/11/09,胡蘿蔔 清洗,18.456652360515022,11650.0
2025/11/09,芋 檳榔心芋,49.7,498.0
2025/11/09,芋 里芋,68.0,24.0
2025/11/09,芥菜 大芥菜,18.3,440.0
2025/11/09,芥菜 小芥菜,17.3,329.0
2025/11/09,芥菜 芥菜仁,26.0,80.0
2025/11/09,芥藍菜,14.8,480.0
2025/11/09,芥藍菜 芥藍芽,46.7,1877.0
2025/11/09,芫荽,58.4,244.0
2025/11/09,花椰菜 青梗,49.39174401563263,2047.0
2025/11/09,花胡瓜,68.5,1808.0
2025/11/09,花胡瓜 其他,100.4,190.0
2025/11/09,芹菜 白梗,65.3,757.0
2025/11/09,芹菜 進口,18.0,125.0
2025/11/09,苦瓜 白大米,64.1,637.0
2025/11/09,苦瓜 翠綠,59.5,248.0
2025/11/09,苦瓜 青大米,38.6,56.0
2025/11/09,茄子 日本種,31.7,96.0
2025/11/09,茄子 麻荸茄,37.6,702.0
2025/11/09,茭白筍 去殼,81.5,124.0
2025/11/09,茭白筍 帶殼,83.6,266.0
2025/11/09,菠菜 圓葉,89.2,423.0
2025/11/09,菠菜 角葉,72.6,892.0
2025/11/09,萵苣莖,16.5,208.0
2025/11/09,萵苣菜 本島圓葉,48.6,100.0
2025/11/09,萵苣菜 本島尖葉,50.0,59.0
2025/11/09,萵苣菜 油麥菜,41.2,2654.0
2025/11/09,萵苣菜 紅捲,50.0,20.0
2025/11/09,萵苣菜 結球萵,90.0,11.0
2025/11/09,萵苣菜 綠捲,82.0,20.0
2025/11/09,萵苣菜 進口結球萵,65.3,232.0
2025/11/09,萵苣菜 進口蘿美,60.0,36.0
2025/11/09,蓮藕,25.0,60.0
2025/11/09,蕹菜 小葉,48.3,769.0
2025/11/09,薑 粉薑,40.7,210.0
2025/11/09,薑 老薑,70.1,396.0
2025/11/09,薯蕷 白薯蕷,85.1,230.0
2025/11/09,薯蕷 進口,60.0,10.0
2025/11/09,蘆筍 白蘆筍,145.0,2.0
