交易日期,產品名稱,加權平均價(元/公斤),總交易量(公斤)
2026/04/04,九層塔,28.1,429.0
2026/04/04,其他,86.6,335.0
2026/04/04,冬瓜 白皮,10.4,566.0
2026/04/04,包心白菜 其他,18.4,815.0
2026/04/04,包心白菜 冬白芽,21.1,138.0
2026/04/04,包心白菜 包 白,14.1,2050.0
2026/04/04,包心白菜 天津白,3.0,150.0
2026/04/04,包心白菜 進口其他,15.1,1497.0
2026/04/04,包心白菜 進口包頭蓮,30.7,225.0
2026/04/04,南瓜 圓形,17.7,97.0
2026/04/04,南瓜 木瓜型阿嬌,18.3,140.0
2026/04/04,南瓜 木瓜型阿成,20.4,358.0
2026/04/04,南瓜 栗子小黑,29.8,420.0
2026/04/04,南瓜 粟子,31.5,210.0
2026/04/04,南瓜 青如意,24.9,1935.0
2026/04/04,大蒜 蒜頭,37.4,354.0
2026/04/04,大蒜 蔥  蒜,55.6,91.0
2026/04/04,大蒜 軟梗,61.4,1653.0
2026/04/04,小白菜 其他,5.7,500.0
2026/04/04,小白菜 土白菜,25.0,60.0
2026/04/04,小白菜 奶油白,47.4,277.0
2026/04/04,小白菜 蚵仔白,7.2,2602.0
2026/04/04,巴西利,35.0,48.0
2026/04/04,扁蒲 梨子蒲,3.0,60.0
2026/04/04,扁蒲 花蒲,2.5,195.0
2026/04/04,敏豆 白豆,71.2,692.0
2026/04/04,敏豆 醜豆,30.6,652.0
2026/04/04,杏鮑菇,32.1,1626.0
2026/04/04,毛豆 豆莢,40.0,16.0
2026/04/04,油菜,12.0,1095.0
2026/04/04,洋蔥 本產,13.3,1008.0
2026/04/04,濕木耳,35.2,201.0
2026/04/04,玉米 其他,14.3,220.0
2026/04/04,玉米 玉米筍,21.7,48.0
2026/04/04,玉米 玉米筍帶殼,16.8,877.0
2026/04/04,玉米 甜軟殼,13.9,2470.0
2026/04/04,玉米 白龍王,13.3,140.0
2026/04/04,玉米 糯米黑,10.0,1180.0
2026/04/04,球莖甘藍,3.3,1851.0
2026/04/04,甘藍 初秋,7.9,8610.0
2026/04/04,甘藍 改良尖,6.0,4440.0
2026/04/04,甘藍 甘藍芽,32.3,171.0
2026/04/04,甘藍 紫色,9.7,255.0
2026/04/04,甘藷 臺農57號,14.3,1020.0
2026/04/04,甘藷 臺農66號,8.0,25.0
2026/04/04,甘藷 芋仔甘藷,11.8,150.0
2026/04/04,甘藷葉,8.4,770.0
2026/04/04,甜椒 彩色種,29.378771,358.0
2026/04/04,甜椒 彩色種紅色,39.276673,986.0
2026/04/04,甜椒 彩色種黃色,28.126066,821.0
2026/04/04,甜椒 新香,49.0,60.0
2026/04/04,甜椒 水果彩椒,80.0,33.0
2026/04/04,甜椒 青椒,35.3,1354.0
2026/04/04,番茄 牛番茄,14.9,5947.0
2026/04/04,番茄 黑柿,8.3,530.0
2026/04/04,竹筍 烏殼綠,63.4,1260.0
2026/04/04,紅鳳菜 紅鳳菜,20.0,15.0
2026/04/04,絲瓜,19.973816,9693.0
2026/04/04,絲瓜 其他,26.625,120.0
2026/04/04,絲瓜 角瓜,39.0,20.0
2026/04/04,胡瓜 黑刺,32.1,1780.0
2026/04/04,胡蘿蔔 未洗,16.5,375.0
2026/04/04,胡蘿蔔 清洗,13.42952,13550.0
2026/04/04,芋 檳榔心芋,46.0,48.0
2026/04/04,芋 芋角,60.0,24.0
2026/04/04,芥菜 大芥菜,4.3,260.0
2026/04/04,芥菜 小芥菜,7.7,240.0
2026/04/04,芥菜 翡翠娃娃菜,32.3,144.0
2026/04/04,芥菜 芥菜仁,21.8,100.0
2026/04/04,芥藍菜,4.3,760.0
2026/04/04,芥藍菜 芥藍芽,63.0,889.0
2026/04/04,芫荽,55.1,492.0
2026/04/04,花椰菜 青梗,12.2,4317.0
2026/04/04,花胡瓜,33.7,1845.0
2026/04/04,花胡瓜 其他,76.143624,298.0
2026/04/04,花豆,76.0,45.0
2026/04/04,芹菜 白梗,53.5,2151.0
2026/04/04,芹菜 芹菜管,35.3,57.0
2026/04/04,芹菜 西洋芹菜,20.3,288.0
2026/04/04,苦瓜 白大米,14.9,146.0
2026/04/04,茄子 日本種,15.7,189.0
2026/04/04,茄子 麻荸茄,14.6,533.0
2026/04/04,茭白筍 去殼,98.0,171.0
2026/04/04,茭白筍 帶殼,70.0,60.0
2026/04/04,茼蒿,18.5,222.0
2026/04/04,莧菜 白莧菜,22.1,140.0
2026/04/04,菠菜 圓葉,26.7,1410.0
2026/04/04,萵苣莖,14.8,120.0
2026/04/04,萵苣菜 其  他,33.9,64.0
2026/04/04,萵苣菜 廣東萵,9.6,50.0
2026/04/04,萵苣菜 本島圓葉,8.3,640.0
2026/04/04,萵苣菜 本島尖葉,7.0,20.0
2026/04/04,萵苣菜 油麥菜,17.7,1280.0
2026/04/04,萵苣菜 結球萵,16.0,307.0
2026/04/04,萵苣菜 綠捲,16.0,15.0
2026/04/04,萵苣菜 蘿美,43.9,151.0
2026/04/04,萵苣菜 進口蘿美,6.4,135.0
2026/04/04,蓮藕,10.0,30.0
2026/04/04,蕹菜 小葉,17.0,817.0
2026/04/04,薯蕷 白薯蕷,80.0,105.0
2026/04/04,薯蕷 白薯蕷人參,11.7,659.0
2026/04/04,薯蕷 進口,100.0,190.0
2026/04/04,蘆筍 綠蘆筍,91.9,335.0
2026/04/04,蘆筍 蘆筍花,80.0,5.0
2026/04/04,蘆筍 進口綠蘆筍,115.0,420.0
2026/04/04,蘿蔔 甜菜根,19.9,168.0
2026/04/04,蘿蔔 矸仔,8.1,3565.0
2026/04/04,蘿蔔 進口,10.0,353.0
2026/04/04,虎豆 褔豆,69.9,106.0
2026/04/04,豆薯,20.4,370.0
2026/04/04,豌豆 甜豌豆,57.3,249.0
2026/04/04,豌豆 白花,15.0,16.0
2026/04/04,豌豆 紅花,52.6,110.0
2026/04/04,豌豆 豆莢,50.0,12.0
2026/04/04,豌豆 進口甜豌豆,13.0,20.0
2026/04/04,辣椒 朝天椒,61.4,20.0
2026/04/04,辣椒 糯米椒,56.0,233.0
2026/04/04,辣椒 紅小,48.7,118.0
2026/04/04,隼人瓜,14.0,120.0
2026/04/04,青江白菜 小梗,16.5,958.0
2026/04/04,青花苔,25.6,1515.0
2026/04/04,青花苔 青花筍,68.3,40.0
2026/04/04,青蔥 大蔥,6.0,30.0
2026/04/04,青蔥 粉  蔥,18.6,1952.0
2026/04/04,韭菜 韭菜花,78.0,60.0
2026/04/04,馬鈴薯 本產,20.0,1080.0
2026/04/04,馬鈴薯 進口,15.0,180.0
2026/04/04,鵲豆 肉豆,20.0,14.0
2026/04/04,黃秋葵,124.7,85.0
