交易日期,產品名稱,加權平均價(元/公斤),總交易量(公斤)
2025/10/06,九層塔,19.19,403.0
2025/10/06,其他,133.72,43.0
2025/10/06,冬瓜,6.0,48.0
2025/10/06,包心白菜,3.774760147601476,5420.0
2025/10/06,南瓜,30.86652125122738,7129.0
2025/10/06,大蒜,50.69483146067415,267.0
2025/10/06,小白菜,49.6725,456.0
2025/10/06,巴西利,353.38,77.0
2025/10/06,扁蒲,18.15,78.0
2025/10/06,敏豆,106.28327935222671,988.0
2025/10/06,杏鮑菇,20.0,90.0
2025/10/06,油菜,31.219999999999995,180.0
2025/10/06,洋蔥,23.46655172413793,1044.0
2025/10/06,玉米,18.28094268257201,3437.0
2025/10/06,甘藍,29.50733772342427,5315.0
2025/10/06,甘藷,23.26939393939394,594.0
2025/10/06,甘藷葉,16.23,994.0
2025/10/06,甜椒,59.57986313868613,1096.0
2025/10/06,番茄,72.49,2820.0
2025/10/06,皇宮菜,25.0,75.0
2025/10/06,竹筍,35.0,60.0
2025/10/06,絲瓜,35.51789740128248,2963.0
2025/10/06,胡瓜,15.18,2732.0
2025/10/06,胡蘿蔔,13.13006500541712,7384.0
2025/10/06,芋,48.73842105263158,342.0
2025/10/06,芥菜,5.379268292682927,738.0
2025/10/06,芥藍菜,21.875130260521043,1497.0
2025/10/06,芫荽,93.33,72.0
2025/10/06,花椰菜,37.61,384.0
2025/10/06,花胡瓜,36.99632416787264,2073.0
2025/10/06,芹菜,33.87200392927309,509.0
2025/10/06,苦瓜,51.69,226.0
2025/10/06,茄子,53.51,302.0
2025/10/06,茭白筍,55.51319796954315,591.0
2025/10/06,莧菜,12.85,274.0
2025/10/06,菠菜,64.76,840.0
2025/10/06,萵苣菜,28.841051437216336,2644.0
2025/10/06,蕹菜,16.84,1698.0
2025/10/06,薯蕷,100.0,37.0
2025/10/06,蘆筍,239.8850574712644,87.0
2025/10/06,蘿蔔,10.7618305744888,1027.0
2025/10/06,越瓜,18.0,40.0
2025/10/06,辣椒,94.42,95.0
2025/10/06,隼人瓜,13.83,164.0
2025/10/06,青江白菜,45.76,574.0
2025/10/06,青花苔,75.22,954.0
2025/10/06,青蔥,94.18651162790697,516.0
2025/10/06,韭菜,25.0,14.0
2025/10/06,香茅,17.86,35.0
2025/10/06,馬鈴薯,20.793347022587263,974.0
2025/10/06,黃秋葵,59.44,440.0
2025/10/09,九層塔,14.06,371.0
2025/10/09,其他,75.85,266.0
2025/10/09,其他菇類,50.0,40.0
2025/10/09,冬瓜,12.546713286713286,1287.0
2025/10/09,包心白菜,6.427027324408583,5453.0
2025/10/09,南瓜,20.76964992503748,13340.0
2025/10/09,大蒜,93.75032128514056,747.0
2025/10/09,小白菜,33.80764474423834,1779.0
2025/10/09,巴西利,306.27,83.0
2025/10/09,扁蒲,8.908078867542972,1978.0
2025/10/09,敏豆,75.10730228044638,4122.0
2025/10/09,杏鮑菇,43.58,1370.0
2025/10/09,油菜,39.31,518.0
2025/10/09,洋蔥,21.42406548431105,2199.0
2025/10/09,牛蒡,11.25,40.0
