交易日期,產品名稱,加權平均價(元/公斤),總交易量(公斤)
2025/05/10,九層塔,37.43,276.0
2025/05/10,其他,52.05,66.0
2025/05/10,其他菇類,50.0,54.0
2025/05/10,冬瓜,11.77,614.0
2025/05/10,包心白菜,10.035090460526314,3648.0
2025/05/10,南瓜,13.930742202921437,5066.0
2025/05/10,大蒜,53.92154002026342,987.0
2025/05/10,小白菜,4.096749435665914,3987.0
2025/05/10,巴西利,92.0,50.0
2025/05/10,扁蒲,1.76488107549121,967.0
2025/05/10,敏豆,67.03457098283931,641.0
2025/05/10,油菜,6.69,1382.0
2025/05/10,洋蔥,20.954932844932845,1638.0
2025/05/10,濕木耳,70.0,30.0
2025/05/10,濕香菇,86.67,108.0
2025/05/10,熟筍,66.7,15.0
2025/05/10,玉米,11.416325767024194,4009.0
2025/05/10,球莖甘藍,9.0,133.0
2025/05/10,甘藍,3.867490347490348,12950.0
2025/05/10,甘藷,20.68347422680413,970.0
2025/05/10,甘藷葉,9.34,590.0
2025/05/10,甜椒,17.057641645615302,5542.0
2025/05/10,番茄,27.48,4974.0
2025/05/10,百合,200.0,5.0
2025/05/10,皇宮菜,9.74,163.0
2025/05/10,竹筍,51.6,1100.0
2025/05/10,絲瓜,10.443081841432225,7038.0
2025/05/10,胡瓜,8.64,5733.0
2025/05/10,胡蘿蔔,10.3496015936255,7530.0
2025/05/10,芥菜,3.484549266247379,954.0
2025/05/10,芥藍菜,11.395752568110764,2239.0
2025/05/10,芫荽,61.38,260.0
2025/05/10,花椰菜,30.56,720.0
2025/05/10,花胡瓜,12.473785700952028,5357.0
2025/05/10,花豆,60.0,16.0
2025/05/10,芹菜,21.36454545454545,1276.0
2025/05/10,苦瓜,24.10575238095238,2625.0
2025/05/10,茄子,15.89269230769231,1430.0
2025/05/10,茭白筍,68.04444585987262,785.0
2025/05/10,茼蒿,35.0,30.0
2025/05/10,莧菜,10.813280757097791,317.0
2025/05/10,菜豆,27.37,279.0
2025/05/10,菠菜,24.442715185444367,2858.0
2025/05/10,菾菜,2.5,20.0
2025/05/10,萊豆,34.27895104895104,143.0
2025/05/10,萵苣菜,10.629659472422064,4170.0
2025/05/10,蕨菜,70.0,5.0
2025/05/10,蕹菜,7.859999999999999,1121.0
2025/05/10,薑,49.01461538461538,273.0
2025/05/10,薯蕷,32.96322738386308,409.0
2025/05/10,蘆筍,130.3242574257426,202.0
2025/05/10,蘿蔔,8.157181403071815,2409.0
2025/05/10,虎豆,70.71,35.0
2025/05/10,豌豆,63.18181818181818,88.0
2025/05/10,辣椒,33.39313099041534,626.0
2025/05/10,隼人瓜,11.839999999999998,217.0
2025/05/10,青江白菜,3.1899999999999995,2616.0
2025/05/10,青花苔,37.090362280234416,1877.0
2025/05/10,青蔥,19.403456790123457,1215.0
2025/05/10,韭菜,50.84644230769232,104.0
2025/05/10,香茅,27.82,55.0
2025/05/10,馬鈴薯,19.039557522123893,2260.0
2025/05/10,黃秋葵,44.18,696.0
2025/05/11,九層塔,22.52,234.0
2025/05/11,其他,30.0,31.0
2025/05/11,冬瓜,12.86,970.0
2025/05/11,包心白菜,9.406854178044783,3662.0
2025/05/11,南瓜,10.419188294491525,7552.0
2025/05/11,大蒜,42.66708955223881,1206.0
2025/05/11,小白菜,6.646357976653697,2570.0
2025/05/11,巴西利,62.0,50.0
2025/05/11,扁蒲,2.548450704225352,1278.0
2025/05/11,敏豆,55.077728096676736,1655.0
